Item Code,UPC ID,Item Name,Grammage,MRP,Batch,Zone Identifier,Location,Entity Vendor,Quantity
10000236,8901023011276,Good Knight Mosquito Fast Card,10 units,10,,,,,
10000238,8901030989254,Lakme Nail Paint Remover(Bottle),27 ml,99,,,,,
10000238,8901030989254,Lakme Nail Paint Remover(Bottle),27 ml,105,,,,,
10000241,8901030624230,Brooke Bond Taj Mahal Tea Bags(Carton),100 units,220,,,,,
10000241,8901030624230,Brooke Bond Taj Mahal Tea Bags(Carton),100 units,210,,,,,
10000242,8901030862090,Pepsodent 2 In 1 Toothpaste,150 g,103,,,,,
10000242,8909106031128,Pepsodent 2 In 1 Toothpaste,150 GM,129,,,,,
10000242,8901030999680,Pepsodent 2 In 1 Toothpaste,150 g,120,,,,,
10000242,8901030999680,Pepsodent 2 In 1 Toothpaste,150 g,110,,,,,
10000251,8901030962783,Vim Lemon Dishwash Gel (500 ml)(Bottle),500 ml,125,,,,,
10000251,8909106018006,Vim Lemon Dishwash Gel (500 ml)(Bottle),500.0 ML,125,,,,,
10000255,8901030761195,Rin Ala Fabric Whitener,500 ml,89,,,,,
10000269,8901030831690,Kissan Mixed Fruit Jam (200 g),200 g,80,,,,,
10000269,8901030831690,Kissan Mixed Fruit Jam (200 g),200 g,85,,,,,
10000270,8901030831706,Kissan Mixed Fruit Jam,500 g,200,,,,,
10000270,8901030831706,Kissan Mixed Fruit Jam,500 g,190,,,,,
10000273,8901030523885,Surf Excel Top Load Detergent Powder(Pouch),2 kg,540,,,,,
10000279,8901042954516,MTR Rava Idli Breakfast Mix,500 g,140,,,,,
10000279,8901042954516,MTR Rava Idli Breakfast Mix,500 g,150,,,,,
10000281,8901042954608,MTR Rice Idli Breakfast Mix,500 g,145,,,,,
10000281,8901042954608,MTR Rice Idli Breakfast Mix,500 g,155,,,,,
10000282,8901042954776,MTR Idli/Dosa - Chilli Chutney Powder,200 g,155,,,,,
10000286,8901042957517,MTR Dal Makhani Ready to Eat,300 g,125,,,,,
10000287,8901042957968,MTR Dosa Breakfast Mix,500 g,145,,,,,
10000287,8901042957968,MTR Dosa Breakfast Mix,500 g,155,,,,,
10000289,8901042970035,MTR (Seviyan) Regular Vermicelli,850 g,87,,,,,
10000289,8901042970035,MTR (Seviyan) Regular Vermicelli,850 g,95,,,,,
10000290,8901042970660,MTR Upma Breakfast Mix,160 g,60,,,,,
10000290,8901042970660,MTR Upma Breakfast Mix,160 g,65,,,,,
10000295,8901052000807,Tata Tea Gold,250 g,160,,,,,
10000295,8901052000807,Tata Tea Gold,250 g,165,,,,,
10000295,8901052000807,Tata Tea Gold,250 g,155,,,,,
10000296,8901052087808,Tetley Immune with Added Vitamin C Green Tea (100 g),100 g,165,,,,,
10000298,8901058013665,Maggi Hot & Sweet Tomato Chilli Sauce 1 kg,1 kg,185,,,,,
10000298,8901058895773,Maggi Hot & Sweet Tomato Chilli Sauce 1 kg,1 kg,180,,,,,
10000298,8901058895773,Maggi Hot & Sweet Tomato Chilli Sauce 1 kg,1 kg,185,,,,,
10000300,8901058901856,Nestle NAN PRO 2 Powder Follow up Formula (After 6 months)(Carton),400 g,805,,,,,
10000300,8901058901856,Nestle NAN PRO 2 Powder Follow up Formula (After 6 months)(Carton),400 g,835,,,,,
10000300,8901058901856,Nestle NAN PRO 2 Powder Follow up Formula (After 6 months)(Carton),400 g,825,,,,,
10000301,8901058897487,Nestle NAN PRO Stage 1 Infant Formula (Up To 6 Months)(Bag-In-Box Pack),400 g,825,,,,,
10000301,8901058897487,Nestle NAN PRO Stage 1 Infant Formula (Up To 6 Months)(Box),400 g,835,,,,,
10000301,8901058897487,Nestle NAN PRO Stage 1 Infant Formula (Up To 6 Months)(Bag-In-Box Pack),400 g,805,,,,,
10000302,8901058007411,Nestle Cerelac Wheat Rice Mixed Fruit Baby Cereal (from 10 to 24 Months)(Bag-In-Box Pack),300 g,325,,,,,
10000302,8901058007411,Nestle Cerelac Wheat Rice Mixed Fruit Baby Cereal (from 10 to 24 Months)(Bag-In-Box Pack),300 g,314,,,,,
10000303,8901058011371,"Nestle Cerelac With Milk, Wheat Apple Baby Cereal (From 6 to 24 Months)(Bag-In-Box Pack)",350 g,295,,,,,
10000303,8901058011371,"Nestle Cerelac With Milk, Wheat Apple Baby Cereal (From 6 to 24 Months)(Bag-In-Box Pack)",350 g,275,,,,,
10000303,8901058017595,"Nestle Cerelac With Milk, Wheat Apple Baby Cereal (From 6 to 24 Months)(Box)",350.0 GM,295,,,,,
10000304,8901058904833,Nestle Cerelac With Milk Rice Baby Cereal (From 6 to 24 Months)(Bag-In-Box Pack),300 g,265,,,,,
10000304,8901058904833,Nestle Cerelac With Milk Rice Baby Cereal (From 6 to 24 Months)(Bag-In-Box Pack),300 g,255,,,,,
10000305,8901058905694,Nestle Cerelac with Milk Multigrain & Fruits Baby Cereal (From 12 to 24 Months)(Bag-In-Box Pack),300 g,322,,,,,
10000305,8901058905694,Nestle Cerelac with Milk Multigrain & Fruits Baby Cereal (From 12 to 24 Months)(Bag-In-Box Pack),300 g,330,,,,,
10000307,8901058901627,Nestle Lactogen Pro 3 Follow up Formula (After 12 Months Up to 18 Months)(Bag-In-Box Pack),400 g,470,,,,,
10000307,8901058901627,Nestle Lactogen Pro 3 Follow up Formula (After 12 Months Up to 18 Months)(Bag-In-Box Pack),400 g,460,,,,,
10000307,8901058901627,Nestle Lactogen Pro 3 Follow up Formula (After 12 Months Up to 18 Months)(Box),400 g,480,,,,,
10000308,8901058008906,Nestle Lactogen Pro 2 Follow up Formula (After 6 Months Up to 12 Months)(Bag-In-Box Pack),400 g,485,,,,,
10000308,8901058008906,Nestle Lactogen Pro 2 Follow up Formula (After 6 Months Up to 12 Months)(Bag-In-Box Pack),400 g,465,,,,,
10000309,8901058901641,Nestle Lactogen Pro 4 Follow up Formula (After 18 Months Up to 24 Months)(Bag-In-Box Pack),400 g,470,,,,,
10000309,8901058901641,Nestle Lactogen Pro 4 Follow up Formula (After 18 Months Up to 24 Months)(Bag-In-Box Pack),400 g,460,,,,,
10000309,8901058901641,Nestle Lactogen Pro 4 Follow up Formula (After 18 Months Up to 24 Months)(Box),400 g,480,,,,,
10000314,8901058842142,Nestle a+ Slim Skimmed Milk(Tetra Pack),1 l,100,,,,,
10000324,8901063023901,Britannia Marie Gold Marie Biscuits (208 g),250 g,40,,,,,
10000324,8901063023901,Britannia Marie Gold Marie Biscuits (208 g),250 g,45,,,,,
10000325,8901063028227,Britannia Nice Time Coconut Biscuit,143 g,25,,,,,
10000327,8901063029279,Britannia Treat Jim Jam Sandwich Cream Biscuits,138 g,40,,,,,
10000327,8901063029279,Britannia Treat Jim Jam Sandwich Cream Biscuits,138 g,35,,,,,
10000334,8901063093393,Britannia Good Day Cashew Biscuit,200 g,50,,,,,
10000334,8901063093287,Britannia Good Day Cashew Biscuit,200 g,50,,,,,
10000342,8901063142015,Britannia NutriChoice Digestive Biscuit,100 g,25,,,,,
10000342,8901063142428,Britannia NutriChoice Digestive Biscuit,120 g,25,,,,,
10000342,8901063142015,Britannia NutriChoice Digestive Biscuit,100 g,20,,,,,
10000348,8901063158078,Britannia Good Day Chunkies Chocolate Chip Cookies (100 g),120 g,80,,,,,
10000352,8901063325784,Britannia Toastea Premium Bake Rusk (250 g),250 g,50,,,,,
10000355,8901063363793,Britannia Pineapple Plunge Slice Cake,50 g,15,,,,,
10000356,8901063363533,Britannia Nut & Raisin Romance Slice Cake,140 g,65,,,,,
10000356,8901063363533,Britannia Nut & Raisin Romance Slice Cake,140 g,70,,,,,
10000357,8901063363977,Britannia Slice Cake,110 g,30,,,,,
10000357,8901063365933,Britannia Slice Cake,100.0 GM,30,,,,,
10000359,8901071732796,Sofit Natural Soy Beverage(Pack),180.0 ML,40,,,,,
10000359,8901071732796,Sofit Natural Soy Beverage(Pack),180 ml,40,,,,,
10000359,8901071732796,Sofit Natural Soy Beverage(Tetra Pack),180,35,,,,,
10000359,8901071732796,Sofit Natural Soy Beverage(Pack),180.0 ML,35,,,,,
